INFO 2024-10-22 10:29:34,538 autoreload Watching for file changes with StatReloader
INFO 2024-10-22 10:30:07,380 autoreload /Users/haniehedayati/PycharmProjects/test2/propertyApiPerformance/propertyApiPerformance/settings.py changed, reloading.
INFO 2024-10-22 10:30:07,584 autoreload Watching for file changes with StatReloader
INFO 2024-10-22 10:32:07,336 autoreload Watching for file changes with StatReloader
INFO 2024-10-22 10:32:13,991 middleware GET /properties took 0.01 seconds
INFO 2024-10-22 10:32:13,991 basehttp "GET /properties?title=new%20prp%20C HTTP/1.1" 301 0
INFO 2024-10-22 10:32:14,006 middleware GET /properties/ took 0.01 seconds
INFO 2024-10-22 10:32:14,006 basehttp "GET /properties/?title=new%20prp%20C HTTP/1.1" 200 94
INFO 2024-10-22 10:32:30,142 middleware GET /properties took 0.01 seconds
INFO 2024-10-22 10:32:30,143 basehttp "GET /properties?title=new%20prp%20C&min_price=2000 HTTP/1.1" 301 0
INFO 2024-10-22 10:32:30,152 middleware GET /properties/ took 0.01 seconds
INFO 2024-10-22 10:32:30,154 basehttp "GET /properties/?title=new%20prp%20C&min_price=2000 HTTP/1.1" 200 94
INFO 2024-10-22 10:38:10,564 middleware GET /properties took 0.01 seconds
INFO 2024-10-22 10:38:10,564 basehttp "GET /properties?title=new%20prp%20C&min_price=20 HTTP/1.1" 301 0
INFO 2024-10-22 10:38:10,572 middleware GET /properties/ took 0.01 seconds
INFO 2024-10-22 10:38:10,573 basehttp "GET /properties/?title=new%20prp%20C&min_price=20 HTTP/1.1" 200 94
INFO 2024-10-26 04:39:17,363 autoreload Watching for file changes with StatReloader
INFO 2024-10-26 04:39:20,892 middleware GET /admin/company/employees/add/ took 0.01 seconds
INFO 2024-10-26 04:39:20,892 basehttp "GET /admin/company/employees/add/ HTTP/1.1" 302 0
INFO 2024-10-26 04:39:20,916 middleware GET /admin/login/ took 0.02 seconds
INFO 2024-10-26 04:39:20,916 basehttp "GET /admin/login/?next=/admin/company/employees/add/ HTTP/1.1" 200 4204
INFO 2024-10-26 04:39:20,920 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
